,annotate_text,label,annotated_at,geo_tag,raw_text,clean_text,langid_raw,langid_clean,spacy_raw,spacy_clean
11,<b>Raw:</b> When Reaves wants to fight but Tony wants to chirpppp. RELEASE HIMMMM #LGR #NYR #PLAYOFFS<br><b>Clean</b>: when reaves wants to fight but tony wants to chirpppp release himmmm,informal-english,2023-03-12 15:04:09,New York,When Reaves wants to fight but Tony wants to chirpppp. RELEASE HIMMMM #LGR #NYR #PLAYOFFS<br>,when reaves wants to fight but tony wants to chirpppp release himmmm,en,en,en,en
12,<b>Raw:</b> Si supieras lo mucho que hablo de ti a diario.<br><b>Clean</b>: si supieras lo mucho que hablo de ti a diario,not-english,2023-03-12 15:04:12,New York,Si supieras lo mucho que hablo de ti a diario.<br>,si supieras lo mucho que hablo de ti a diario,es,es,es,es
13,<b>Raw:</b> Niggas getting BBL’s nah son where’s the reset button<br><b>Clean</b>: niggas getting bbls nah son wheres the reset button,informal-english,2023-03-12 15:04:23,New York,Niggas getting BBL’s nah son where’s the reset button<br>,niggas getting bbls nah son wheres the reset button,en,en,en,en
14,<b>Raw:</b> BACK TO BACK HOME RUNS?! OMGGGGG!!!! YAAAAS!!!! 💪🏽💪🏽💪🏽💪🏽💪🏽💪🏽<br><b>Clean</b>: back to back home runs omggggg yaaaas,informal-english,2023-03-12 15:04:31,New York,BACK TO BACK HOME RUNS?! OMGGGGG!!!! YAAAAS!!!! 💪🏽💪🏽💪🏽💪🏽💪🏽💪🏽<br>,back to back home runs omggggg yaaaas,zh,en,en,so
15,<b>Raw:</b> working the MGK concert tonight but I only care ab seeing AVRIL F’ING LAVIGNE in the flesh<br><b>Clean</b>: working the mgk concert tonight but i only care ab seeing avril fing lavigne in the flesh,informal-english,2023-03-12 15:04:50,New York,working the MGK concert tonight but I only care ab seeing AVRIL F’ING LAVIGNE in the flesh<br>,working the mgk concert tonight but i only care ab seeing avril fing lavigne in the flesh,en,en,en,en
16,<b>Raw:</b> Gooch grease the wildest combination of words I ever seent<br><b>Clean</b>: gooch grease the wildest combination of words i ever seent,non-syntactic-english,2023-03-12 15:05:03,New York,Gooch grease the wildest combination of words I ever seent<br>,gooch grease the wildest combination of words i ever seent,en,en,en,en
17,<b>Raw:</b> Como dice mana: es mas facil llegar al sol que a tu corazon 🎶<br><b>Clean</b>: como dice mana es mas facil llegar al sol que a tu corazon,not-english,2023-03-12 15:05:08,New York,Como dice mana: es mas facil llegar al sol que a tu corazon 🎶<br>,como dice mana es mas facil llegar al sol que a tu corazon,es,es,es,es
18,"<b>Raw:</b> @Milrandor I didn't like Gilmour's singing voice, tbh.<br><b>Clean</b>: i didnt like gilmours singing voice tbh",informal-english,2023-03-12 15:05:22,New York,"@Milrandor I didn't like Gilmour's singing voice, tbh.<br>",i didnt like gilmours singing voice tbh,nl,nl,en,af
19,<b>Raw:</b> NONE OF MY FRIENDS ARE ANSWERING MY FACETIME CALLS. YALL FAKE ASF<br><b>Clean</b>: none of my friends are answering my facetime calls yall fake asf,informal-english,2023-03-12 15:05:25,New York,NONE OF MY FRIENDS ARE ANSWERING MY FACETIME CALLS. YALL FAKE ASF<br>,none of my friends are answering my facetime calls yall fake asf,en,en,en,en
20,<b>Raw:</b> The tulips of Abington Square. @ Abingdon Square Park https://t.co/WRCJ3tjQEs<br><b>Clean</b>: the tulips of abington square abingdon square park,syntactic-english,2023-03-12 15:05:35,New York,The tulips of Abington Square. @ Abingdon Square Park https://t.co/WRCJ3tjQEs<br>,the tulips of abington square abingdon square park,en,en,en,en
21,<b>Raw:</b> @MissHoneyGold_ smh i knew yall be getting wild in there<br><b>Clean</b>: smh i knew yall be getting wild in there,informal-english,2023-03-12 15:05:40,New York,@MissHoneyGold_ smh i knew yall be getting wild in there<br>,smh i knew yall be getting wild in there,en,en,en,en
22,<b>Raw:</b> Bad bunny y Jack Harlowwwww tonight prrrr<br><b>Clean</b>: bad bunny y jack harlowwwww tonight prrrr,informal-english,2023-03-12 15:05:43,New York,Bad bunny y Jack Harlowwwww tonight prrrr<br>,bad bunny y jack harlowwwww tonight prrrr,es,en,en,en
23,<b>Raw:</b> Hoy tu sufrimiento es por mi trauma.<br><b>Clean</b>: hoy tu sufrimiento es por mi trauma,not-english,2023-03-12 15:05:54,New York,Hoy tu sufrimiento es por mi trauma.<br>,hoy tu sufrimiento es por mi trauma,es,es,es,es
24,"<b>Raw:</b> Enjoying Jihye Lee Orchestra at DIZZY’S CLUB 🎷🎼🎺..

#JazzMusic ❣️ https://t.co/3WZaFEToIX<br><b>Clean</b>: enjoying jihye lee orchestra at dizzys club",syntactic-english,2023-03-12 15:06:01,New York,"Enjoying Jihye Lee Orchestra at DIZZY’S CLUB 🎷🎼🎺..

#JazzMusic ❣️ https://t.co/3WZaFEToIX<br>",enjoying jihye lee orchestra at dizzys club,la,en,en,en
25,<b>Raw:</b> McCormick concedes to Oz in Pennsylvania GOP Senate primary https://t.co/2j8Op1RmDn<br><b>Clean</b>: mccormick concedes to oz in pennsylvania gop senate primary,syntactic-english,2023-03-12 15:06:18,New York,McCormick concedes to Oz in Pennsylvania GOP Senate primary https://t.co/2j8Op1RmDn<br>,mccormick concedes to oz in pennsylvania gop senate primary,en,en,en,en
26,<b>Raw:</b> Can I unmute USMNT Twitter now? Is it safe?<br><b>Clean</b>: can i unmute usmnt twitter now is it safe,syntactic-english,2023-03-12 15:06:25,New York,Can I unmute USMNT Twitter now? Is it safe?<br>,can i unmute usmnt twitter now is it safe,en,en,en,en
27,"<b>Raw:</b> Amazing week as usual at @caffepanna, definitely get this Pistachioreo Affogato
🍦👌🏽👌🏽👌🏽👌🏽 #caffepanna @ Caffè Panna https://t.co/TJZDUZ0oRn<br><b>Clean</b>: amazing week as usual at definitely get this pistachioreo affogato caffè panna",non-syntactic-english,2023-03-12 15:06:35,New York,"Amazing week as usual at @caffepanna, definitely get this Pistachioreo Affogato
🍦👌🏽👌🏽👌🏽👌🏽 #caffepanna @ Caffè Panna https://t.co/TJZDUZ0oRn<br>",amazing week as usual at definitely get this pistachioreo affogato caffè panna,la,en,en,en
28,<b>Raw:</b> @OComejen No le va a pagar la cuenta 😂<br><b>Clean</b>: no le va a pagar la cuenta,not-english,2023-03-12 15:06:39,New York,@OComejen No le va a pagar la cuenta 😂<br>,no le va a pagar la cuenta,es,es,es,es
29,<b>Raw:</b> In case it needs saying: don't boop the sploot<br><b>Clean</b>: in case it needs saying dont boop the sploot,informal-english,2023-03-12 15:06:59,New York,In case it needs saying: don't boop the sploot<br>,in case it needs saying dont boop the sploot,en,en,en,en
30,<b>Raw:</b> 👶🏿 yeah she's gonna get it seened her twice 👼🤣:)<br><b>Clean</b>: yeah shes gonna get it seened her twice,non-syntactic-english,2023-03-12 15:07:18,New York,👶🏿 yeah she's gonna get it seened her twice 👼🤣:)<br>,yeah shes gonna get it seened her twice,la,en,en,en
31,"<b>Raw:</b> @annebormans Environ 90/95% d’une salle pouvant accueillir 20 000 personnes, c’est pas mal, non ?<br><b>Clean</b>: environ 9095 dune salle pouvant accueillir 20 000 personnes cest pas mal non",not-english,2023-03-12 15:07:23,New York,"@annebormans Environ 90/95% d’une salle pouvant accueillir 20 000 personnes, c’est pas mal, non ?<br>",environ 9095 dune salle pouvant accueillir 20 000 personnes cest pas mal non,fr,fr,fr,fr
32,"<b>Raw:</b> Jaylen Brown revenge tour &gt;&gt;&gt;&gt;&gt;

Watch your head top 💣<br><b>Clean</b>: jaylen brown revenge tour gtgtgtgtgt watch your head top",non-syntactic-english,2023-03-12 15:09:38,New York,"Jaylen Brown revenge tour &gt;&gt;&gt;&gt;&gt;

Watch your head top 💣<br>",jaylen brown revenge tour gtgtgtgtgt watch your head top,en,en,en,nl
33,"<b>Raw:</b> @gutgremlins D and C
Fav is a greeker. Dog,chili,raw onion<br><b>Clean</b>: d and c fav is a greeker dogchiliraw onion",non-syntactic-english,2023-03-12 15:09:48,New York,"@gutgremlins D and C
Fav is a greeker. Dog,chili,raw onion<br>",d and c fav is a greeker dogchiliraw onion,en,en,en,en
34,<b>Raw:</b> Cleared: Incident on #B16Bus Both directions from 3 Av/Marine Av to Flatbush Av/Ocean Av<br><b>Clean</b>: cleared incident on both directions from 3 avmarine av to flatbush avocean av,syntactic-english,2023-03-12 15:09:56,New York,Cleared: Incident on #B16Bus Both directions from 3 Av/Marine Av to Flatbush Av/Ocean Av<br>,cleared incident on both directions from 3 avmarine av to flatbush avocean av,en,en,en,en
35,<b>Raw:</b> Mañana hay un cumple y yo sin ni uno<br><b>Clean</b>: mañana hay un cumple y yo sin ni uno,not-english,2023-03-12 15:10:00,New York,Mañana hay un cumple y yo sin ni uno<br>,mañana hay un cumple y yo sin ni uno,es,es,es,es
36,<b>Raw:</b> Decirle a mi papi que me prepare comida y el se pare de una no tiene precio 🥰<br><b>Clean</b>: decirle a mi papi que me prepare comida y el se pare de una no tiene precio,not-english,2023-03-12 15:10:06,New York,Decirle a mi papi que me prepare comida y el se pare de una no tiene precio 🥰<br>,decirle a mi papi que me prepare comida y el se pare de una no tiene precio,es,es,es,es
37,<b>Raw:</b> No podes !!! Ser vos es lo más ….. tu admin te ama !!<br><b>Clean</b>: no podes ser vos es lo más tu admin te ama,not-english,2023-03-12 15:10:36,New York,No podes !!! Ser vos es lo más ….. tu admin te ama !!<br>,no podes ser vos es lo más tu admin te ama,es,es,es,es
38,<b>Raw:</b> Cafecito is exhausted from watching me play Fortnite. https://t.co/NEsPJ5YSXa<br><b>Clean</b>: cafecito is exhausted from watching me play fortnite,syntactic-english,2023-03-12 15:10:44,New York,Cafecito is exhausted from watching me play Fortnite. https://t.co/NEsPJ5YSXa<br>,cafecito is exhausted from watching me play fortnite,en,en,en,en
39,<b>Raw:</b> Hes gonna be a star yall fcking sleep<br><b>Clean</b>: hes gonna be a star yall fcking sleep,informal-english,2023-03-12 15:10:47,New York,Hes gonna be a star yall fcking sleep<br>,hes gonna be a star yall fcking sleep,en,en,en,en
40,"<b>Raw:</b> @bestepan Hey, feliz, saludable y prospero año nuevo.<br><b>Clean</b>: hey feliz saludable y prospero año nuevo",not-english,2023-03-12 15:10:50,New York,"@bestepan Hey, feliz, saludable y prospero año nuevo.<br>",hey feliz saludable y prospero año nuevo,es,es,es,es
41,<b>Raw:</b> Y es que el abusador no se quiere entregar es?<br><b>Clean</b>: y es que el abusador no se quiere entregar es,not-english,2023-03-12 15:10:53,New York,Y es que el abusador no se quiere entregar es?<br>,y es que el abusador no se quiere entregar es,es,es,es,es
42,"<b>Raw:</b> Just posted a photo @ Bill Bodouva, Jr. Real Estate Agent ABR Coldwell Banker Realty https://t.co/RWA7QoJmy1<br><b>Clean</b>: just posted a photo bill bodouva jr real estate agent abr coldwell banker realty",non-syntactic-english,2023-03-12 15:11:00,New York,"Just posted a photo @ Bill Bodouva, Jr. Real Estate Agent ABR Coldwell Banker Realty https://t.co/RWA7QoJmy1<br>",just posted a photo bill bodouva jr real estate agent abr coldwell banker realty,en,en,en,en
43,<b>Raw:</b> Ahsoka telling Luke he reminds her of Anakin 😭<br><b>Clean</b>: ahsoka telling luke he reminds her of anakin,non-syntactic-english,2023-03-12 15:11:09,New York,Ahsoka telling Luke he reminds her of Anakin 😭<br>,ahsoka telling luke he reminds her of anakin,en,en,en,en
44,<b>Raw:</b> Adam Beyer &amp; Drumcode NYC: Register for Presale Tickets &amp; Win 2 Backstage Passes: https://t.co/GAaUfV3SQX<br><b>Clean</b>: adam beyer and drumcode nyc register for presale tickets and win 2 backstage passes,syntactic-english,2023-03-12 15:11:18,New York,Adam Beyer &amp; Drumcode NYC: Register for Presale Tickets &amp; Win 2 Backstage Passes: https://t.co/GAaUfV3SQX<br>,adam beyer and drumcode nyc register for presale tickets and win 2 backstage passes,da,en,de,en
45,<b>Raw:</b> Kamukha ni Vic Rodriguez si Voldemort. Yun lang.<br><b>Clean</b>: kamukha ni vic rodriguez si voldemort yun lang,not-english,2023-03-12 15:11:21,New York,Kamukha ni Vic Rodriguez si Voldemort. Yun lang.<br>,kamukha ni vic rodriguez si voldemort yun lang,es,ca,ca,sl
46,"<b>Raw:</b> I'm at Westville Chelsea in New York, NY https://t.co/wkyIrpAOfW<br><b>Clean</b>: im at westville chelsea in new york ny",syntactic-english,2023-03-12 15:11:25,New York,"I'm at Westville Chelsea in New York, NY https://t.co/wkyIrpAOfW<br>",im at westville chelsea in new york ny,en,en,en,en
47,<b>Raw:</b> Incident on #CLine from Hoyt - Schermerhorn Sts to 168 St https://t.co/B5YOcq1hfN<br><b>Clean</b>: incident on from hoyt schermerhorn sts to 168 st,syntactic-english,2023-03-12 15:11:29,New York,Incident on #CLine from Hoyt - Schermerhorn Sts to 168 St https://t.co/B5YOcq1hfN<br>,incident on from hoyt schermerhorn sts to 168 st,en,en,en,en
48,<b>Raw:</b> @Dona_Pily2 Plata!!!! Por lo que la gente se mata!!!<br><b>Clean</b>: plata por lo que la gente se mata,not-english,2023-03-12 15:11:32,New York,@Dona_Pily2 Plata!!!! Por lo que la gente se mata!!!<br>,plata por lo que la gente se mata,es,es,es,es
49,<b>Raw:</b> @CurrenSy_Spitta I still watch MythBlazers every now and then bigbro<br><b>Clean</b>: i still watch mythblazers every now and then bigbro,informal-english,2023-03-12 15:11:45,New York,@CurrenSy_Spitta I still watch MythBlazers every now and then bigbro<br>,i still watch mythblazers every now and then bigbro,en,en,en,en
50,<b>Raw:</b> @ryendaviss Dawg Im more dead at Colby Cryin in the bathroom 😭😭<br><b>Clean</b>: dawg im more dead at colby cryin in the bathroom,non-syntactic-english,2023-03-12 15:11:50,New York,@ryendaviss Dawg Im more dead at Colby Cryin in the bathroom 😭😭<br>,dawg im more dead at colby cryin in the bathroom,en,en,en,en
51,<b>Raw:</b> @TheGuys_4_life @VisibleWomennft @Ukraine_DAO Hahahah yes! And also it’s support for UkraineDao<br><b>Clean</b>: hahahah yes and also its support for ukrainedao,informal-english,2023-03-12 15:12:03,New York,@TheGuys_4_life @VisibleWomennft @Ukraine_DAO Hahahah yes! And also it’s support for UkraineDao<br>,hahahah yes and also its support for ukrainedao,en,en,en,en
52,"<b>Raw:</b> @MarkCHealey If someone gets called up, I wojld think Vientos, not Alvarez<br><b>Clean</b>: if someone gets called up i wojld think vientos not alvarez",non-syntactic-english,2023-03-12 15:12:13,New York,"@MarkCHealey If someone gets called up, I wojld think Vientos, not Alvarez<br>",if someone gets called up i wojld think vientos not alvarez,en,en,en,en
53,<b>Raw:</b> No tengo ni un Chin de ánimo para ver el juego<br><b>Clean</b>: no tengo ni un chin de ánimo para ver el juego,not-english,2023-03-12 15:12:19,New York,No tengo ni un Chin de ánimo para ver el juego<br>,no tengo ni un chin de ánimo para ver el juego,es,es,es,es
54,"<b>Raw:</b> Rizz telling Lindor to stfu is gold 🤣🤣 #SubwaySeries  

(Like them both, it’s just ⚾️)<br><b>Clean</b>: rizz telling lindor to stfu is gold like them both its just",informal-english,2023-03-12 15:12:31,New York,"Rizz telling Lindor to stfu is gold 🤣🤣 #SubwaySeries  

(Like them both, it’s just ⚾️)<br>",rizz telling lindor to stfu is gold like them both its just,en,en,en,en
55,<b>Raw:</b> @mystic_cat Je ne vous pas bien mais je vous crois bien volontiers. I hope you enjoyed the performance.<br><b>Clean</b>: je ne vous pas bien mais je vous crois bien volontiers i hope you enjoyed the performance,code-switched,2023-03-12 15:12:34,New York,@mystic_cat Je ne vous pas bien mais je vous crois bien volontiers. I hope you enjoyed the performance.<br>,je ne vous pas bien mais je vous crois bien volontiers i hope you enjoyed the performance,fr,fr,fr,fr
56,<b>Raw:</b> Y’all cannot be serious. Y’all CANNOT be serious. #NYCFC<br><b>Clean</b>: yall cannot be serious yall cannot be serious,informal-english,2023-03-12 15:12:38,New York,Y’all cannot be serious. Y’all CANNOT be serious. #NYCFC<br>,yall cannot be serious yall cannot be serious,en,en,en,en
57,<b>Raw:</b> @mill_matic Damn Capt Raposa is making their rounds https://t.co/q5ek5vvKOD<br><b>Clean</b>: damn capt raposa is making their rounds,syntactic-english,2023-03-12 15:12:45,New York,@mill_matic Damn Capt Raposa is making their rounds https://t.co/q5ek5vvKOD<br>,damn capt raposa is making their rounds,en,en,en,en
58,"<b>Raw:</b> Acaba de publicar una foto en New York City, N.Y. https://t.co/e5JxafGw4P<br><b>Clean</b>: acaba de publicar una foto en new york city n y",incidental-english,2023-03-12 15:12:51,New York,"Acaba de publicar una foto en New York City, N.Y. https://t.co/e5JxafGw4P<br>",acaba de publicar una foto en new york city n y,es,es,en,es
59,<b>Raw:</b> @JackDeLaConcha Échesela a Breaking Bad a ver si le empieza a gustar!<br><b>Clean</b>: échesela a breaking bad a ver si le empieza a gustar,not-english,2023-03-12 15:12:54,New York,@JackDeLaConcha Échesela a Breaking Bad a ver si le empieza a gustar!<br>,échesela a breaking bad a ver si le empieza a gustar,es,es,en,ca
60,<b>Raw:</b> Jax me trajo a ver a @pamelaanderson en @ChicagoMusical 😬 https://t.co/r6FnErQv7x<br><b>Clean</b>: jax me trajo a ver a en,not-english,2023-03-12 15:12:57,New York,Jax me trajo a ver a @pamelaanderson en @ChicagoMusical 😬 https://t.co/r6FnErQv7x<br>,jax me trajo a ver a en,an,es,es,sl
61,"<b>Raw:</b> Si duras mucho pasas a una paja, bye<br><b>Clean</b>: si duras mucho pasas a una paja bye",incidental-english,2023-03-12 15:13:12,New York,"Si duras mucho pasas a una paja, bye<br>",si duras mucho pasas a una paja bye,es,es,es,es
62,<b>Raw:</b> You can’t tell me I don’t fínese my blunts https://t.co/v0FY9k89LX<br><b>Clean</b>: you cant tell me i dont fínese my blunts,code-switched,2023-03-12 15:13:57,New York,You can’t tell me I don’t fínese my blunts https://t.co/v0FY9k89LX<br>,you cant tell me i dont fínese my blunts,fo,ga,ca,ca
63,"<b>Raw:</b> @lawandordertv @FINALLEVEL @cheerios DJI Osmo Pocket! Nice, Ice! 
Love mine.<br><b>Clean</b>: dji osmo pocket nice ice love mine",non-syntactic-english,2023-03-12 15:14:07,New York,"@lawandordertv @FINALLEVEL @cheerios DJI Osmo Pocket! Nice, Ice! 
Love mine.<br>",dji osmo pocket nice ice love mine,es,bs,en,hr
64,<b>Raw:</b> I just showed my son he has a mustache and he’s like NOOO WHYYYY!!! Take it offf LMAOOO🤣🤣🤣<br><b>Clean</b>: i just showed my son he has a mustache and hes like nooo whyyyy take it offf lmaooo,informal-english,2023-03-12 15:14:15,New York,I just showed my son he has a mustache and he’s like NOOO WHYYYY!!! Take it offf LMAOOO🤣🤣🤣<br>,i just showed my son he has a mustache and hes like nooo whyyyy take it offf lmaooo,en,en,en,en
65,<b>Raw:</b> @shamimA01180430 Shamim Bhai Jazak Allah Khair. May Allah swt shower upon you his choicest blessings upon you. Ameen !<br><b>Clean</b>: shamim bhai jazak allah khair may allah swt shower upon you his choicest blessings upon you ameen,code-switched,2023-03-12 15:14:24,New York,@shamimA01180430 Shamim Bhai Jazak Allah Khair. May Allah swt shower upon you his choicest blessings upon you. Ameen !<br>,shamim bhai jazak allah khair may allah swt shower upon you his choicest blessings upon you ameen,en,en,en,en
66,<b>Raw:</b> Made a peri aeoli cos I didn’t know they sold Nando’s at Shoprite. En los estados unidos!!!!<br><b>Clean</b>: made a peri aeoli cos i didnt know they sold nandos at shoprite en los estados unidos,code-switched,2023-03-12 15:14:35,New York,Made a peri aeoli cos I didn’t know they sold Nando’s at Shoprite. En los estados unidos!!!!<br>,made a peri aeoli cos i didnt know they sold nandos at shoprite en los estados unidos,es,es,es,es
67,<b>Raw:</b> Incident on #5Line Both directions at Eastchester - Dyre Av https://t.co/ZjcrwVbVnD<br><b>Clean</b>: incident on both directions at eastchester dyre av,syntactic-english,2023-03-12 15:14:39,New York,Incident on #5Line Both directions at Eastchester - Dyre Av https://t.co/ZjcrwVbVnD<br>,incident on both directions at eastchester dyre av,en,en,en,en
68,<b>Raw:</b> Incident on #LLine SB from 8 Av to Canarsie - Rockaway Pkwy https://t.co/vWJgtZ4d0G<br><b>Clean</b>: incident on sb from 8 av to canarsie rockaway pkwy,syntactic-english,2023-03-12 15:14:42,New York,Incident on #LLine SB from 8 Av to Canarsie - Rockaway Pkwy https://t.co/vWJgtZ4d0G<br>,incident on sb from 8 av to canarsie rockaway pkwy,en,en,en,en
69,<b>Raw:</b> Kelis has gathered all y’all millennial sheep and sent y’all to the slaughterhouse.<br><b>Clean</b>: kelis has gathered all yall millennial sheep and sent yall to the slaughterhouse,informal-english,2023-03-12 15:14:45,New York,Kelis has gathered all y’all millennial sheep and sent y’all to the slaughterhouse.<br>,kelis has gathered all yall millennial sheep and sent yall to the slaughterhouse,en,en,en,en
70,"<b>Raw:</b> Nadie dice nada, pero @Aquisetrina me acosa, no me deja de mencionar, me invita a fiestas y se pone a cantar banda en mi apartamento 😩<br><b>Clean</b>: nadie dice nada pero me acosa no me deja de mencionar me invita a fiestas y se pone a cantar banda en mi apartamento",not-english,2023-03-12 15:14:49,New York,"Nadie dice nada, pero @Aquisetrina me acosa, no me deja de mencionar, me invita a fiestas y se pone a cantar banda en mi apartamento 😩<br>",nadie dice nada pero me acosa no me deja de mencionar me invita a fiestas y se pone a cantar banda en mi apartamento,es,es,es,es
71,"<b>Raw:</b> Just posted a photo @ Riverdale Ave., Bx,NY https://t.co/fd4c0N2qls<br><b>Clean</b>: just posted a photo riverdale ave bxny",non-syntactic-english,2023-03-12 15:14:58,New York,"Just posted a photo @ Riverdale Ave., Bx,NY https://t.co/fd4c0N2qls<br>",just posted a photo riverdale ave bxny,en,en,en,en
72,<b>Raw:</b> Bro this is amazing I love eetttttttt<br><b>Clean</b>: bro this is amazing i love eetttttttt,informal-english,2023-03-12 15:15:01,New York,Bro this is amazing I love eetttttttt<br>,bro this is amazing i love eetttttttt,en,en,en,en
73,<b>Raw:</b> Hafi do a likkle for da yard!<br><b>Clean</b>: hafi do a likkle for da yard,informal-english,2023-03-12 15:15:05,New York,Hafi do a likkle for da yard!<br>,hafi do a likkle for da yard,pt,pt,tr,tr
