,annotate_text,label,annotated_at,geo_tag
23,<b>Raw:</b> Hoy tu sufrimiento es por mi trauma.<br><b>Clean</b>: hoy tu sufrimiento es por mi trauma,not-english,2023-03-12 15:05:54,New York
24,"<b>Raw:</b> Enjoying Jihye Lee Orchestra at DIZZY’S CLUB 🎷🎼🎺..

#JazzMusic ❣️ https://t.co/3WZaFEToIX<br><b>Clean</b>: enjoying jihye lee orchestra at dizzys club",syntactic-english,2023-03-12 15:06:01,New York
25,<b>Raw:</b> McCormick concedes to Oz in Pennsylvania GOP Senate primary https://t.co/2j8Op1RmDn<br><b>Clean</b>: mccormick concedes to oz in pennsylvania gop senate primary,syntactic-english,2023-03-12 15:06:18,New York
26,<b>Raw:</b> Can I unmute USMNT Twitter now? Is it safe?<br><b>Clean</b>: can i unmute usmnt twitter now is it safe,syntactic-english,2023-03-12 15:06:25,New York
27,"<b>Raw:</b> Amazing week as usual at @caffepanna, definitely get this Pistachioreo Affogato
🍦👌🏽👌🏽👌🏽👌🏽 #caffepanna @ Caffè Panna https://t.co/TJZDUZ0oRn<br><b>Clean</b>: amazing week as usual at definitely get this pistachioreo affogato caffè panna",non-syntactic-english,2023-03-12 15:06:35,New York
28,<b>Raw:</b> @OComejen No le va a pagar la cuenta 😂<br><b>Clean</b>: no le va a pagar la cuenta,not-english,2023-03-12 15:06:39,New York
29,<b>Raw:</b> In case it needs saying: don't boop the sploot<br><b>Clean</b>: in case it needs saying dont boop the sploot,informal-english,2023-03-12 15:06:59,New York
30,<b>Raw:</b> 👶🏿 yeah she's gonna get it seened her twice 👼🤣:)<br><b>Clean</b>: yeah shes gonna get it seened her twice,non-syntactic-english,2023-03-12 15:07:18,New York
31,"<b>Raw:</b> @annebormans Environ 90/95% d’une salle pouvant accueillir 20 000 personnes, c’est pas mal, non ?<br><b>Clean</b>: environ 9095 dune salle pouvant accueillir 20 000 personnes cest pas mal non",not-english,2023-03-12 15:07:23,New York
32,"<b>Raw:</b> Jaylen Brown revenge tour &gt;&gt;&gt;&gt;&gt;

Watch your head top 💣<br><b>Clean</b>: jaylen brown revenge tour gtgtgtgtgt watch your head top",non-syntactic-english,2023-03-12 15:09:38,New York
33,"<b>Raw:</b> @gutgremlins D and C
Fav is a greeker. Dog,chili,raw onion<br><b>Clean</b>: d and c fav is a greeker dogchiliraw onion",non-syntactic-english,2023-03-12 15:09:48,New York
34,<b>Raw:</b> Cleared: Incident on #B16Bus Both directions from 3 Av/Marine Av to Flatbush Av/Ocean Av<br><b>Clean</b>: cleared incident on both directions from 3 avmarine av to flatbush avocean av,syntactic-english,2023-03-12 15:09:56,New York
35,<b>Raw:</b> Mañana hay un cumple y yo sin ni uno<br><b>Clean</b>: mañana hay un cumple y yo sin ni uno,not-english,2023-03-12 15:10:00,New York
36,<b>Raw:</b> Decirle a mi papi que me prepare comida y el se pare de una no tiene precio 🥰<br><b>Clean</b>: decirle a mi papi que me prepare comida y el se pare de una no tiene precio,not-english,2023-03-12 15:10:06,New York
37,<b>Raw:</b> No podes !!! Ser vos es lo más ….. tu admin te ama !!<br><b>Clean</b>: no podes ser vos es lo más tu admin te ama,not-english,2023-03-12 15:10:36,New York
38,<b>Raw:</b> Cafecito is exhausted from watching me play Fortnite. https://t.co/NEsPJ5YSXa<br><b>Clean</b>: cafecito is exhausted from watching me play fortnite,syntactic-english,2023-03-12 15:10:44,New York
39,<b>Raw:</b> Hes gonna be a star yall fcking sleep<br><b>Clean</b>: hes gonna be a star yall fcking sleep,informal-english,2023-03-12 15:10:47,New York
40,"<b>Raw:</b> @bestepan Hey, feliz, saludable y prospero año nuevo.<br><b>Clean</b>: hey feliz saludable y prospero año nuevo",not-english,2023-03-12 15:10:50,New York
41,<b>Raw:</b> Y es que el abusador no se quiere entregar es?<br><b>Clean</b>: y es que el abusador no se quiere entregar es,not-english,2023-03-12 15:10:53,New York
42,"<b>Raw:</b> Just posted a photo @ Bill Bodouva, Jr. Real Estate Agent ABR Coldwell Banker Realty https://t.co/RWA7QoJmy1<br><b>Clean</b>: just posted a photo bill bodouva jr real estate agent abr coldwell banker realty",non-syntactic-english,2023-03-12 15:11:00,New York
43,<b>Raw:</b> Ahsoka telling Luke he reminds her of Anakin 😭<br><b>Clean</b>: ahsoka telling luke he reminds her of anakin,non-syntactic-english,2023-03-12 15:11:09,New York
44,<b>Raw:</b> Adam Beyer &amp; Drumcode NYC: Register for Presale Tickets &amp; Win 2 Backstage Passes: https://t.co/GAaUfV3SQX<br><b>Clean</b>: adam beyer and drumcode nyc register for presale tickets and win 2 backstage passes,syntactic-english,2023-03-12 15:11:18,New York
45,<b>Raw:</b> Kamukha ni Vic Rodriguez si Voldemort. Yun lang.<br><b>Clean</b>: kamukha ni vic rodriguez si voldemort yun lang,not-english,2023-03-12 15:11:21,New York
46,"<b>Raw:</b> I'm at Westville Chelsea in New York, NY https://t.co/wkyIrpAOfW<br><b>Clean</b>: im at westville chelsea in new york ny",syntactic-english,2023-03-12 15:11:25,New York
47,<b>Raw:</b> Incident on #CLine from Hoyt - Schermerhorn Sts to 168 St https://t.co/B5YOcq1hfN<br><b>Clean</b>: incident on from hoyt schermerhorn sts to 168 st,syntactic-english,2023-03-12 15:11:29,New York
48,<b>Raw:</b> @Dona_Pily2 Plata!!!! Por lo que la gente se mata!!!<br><b>Clean</b>: plata por lo que la gente se mata,not-english,2023-03-12 15:11:32,New York
49,<b>Raw:</b> @CurrenSy_Spitta I still watch MythBlazers every now and then bigbro<br><b>Clean</b>: i still watch mythblazers every now and then bigbro,informal-english,2023-03-12 15:11:45,New York
50,<b>Raw:</b> @ryendaviss Dawg Im more dead at Colby Cryin in the bathroom 😭😭<br><b>Clean</b>: dawg im more dead at colby cryin in the bathroom,non-syntactic-english,2023-03-12 15:11:50,New York
51,<b>Raw:</b> @TheGuys_4_life @VisibleWomennft @Ukraine_DAO Hahahah yes! And also it’s support for UkraineDao<br><b>Clean</b>: hahahah yes and also its support for ukrainedao,informal-english,2023-03-12 15:12:03,New York
52,"<b>Raw:</b> @MarkCHealey If someone gets called up, I wojld think Vientos, not Alvarez<br><b>Clean</b>: if someone gets called up i wojld think vientos not alvarez",non-syntactic-english,2023-03-12 15:12:13,New York
53,<b>Raw:</b> No tengo ni un Chin de ánimo para ver el juego<br><b>Clean</b>: no tengo ni un chin de ánimo para ver el juego,not-english,2023-03-12 15:12:19,New York
54,"<b>Raw:</b> Rizz telling Lindor to stfu is gold 🤣🤣 #SubwaySeries  

(Like them both, it’s just ⚾️)<br><b>Clean</b>: rizz telling lindor to stfu is gold like them both its just",informal-english,2023-03-12 15:12:31,New York
55,<b>Raw:</b> @mystic_cat Je ne vous pas bien mais je vous crois bien volontiers. I hope you enjoyed the performance.<br><b>Clean</b>: je ne vous pas bien mais je vous crois bien volontiers i hope you enjoyed the performance,code-switched,2023-03-12 15:12:34,New York
56,<b>Raw:</b> Y’all cannot be serious. Y’all CANNOT be serious. #NYCFC<br><b>Clean</b>: yall cannot be serious yall cannot be serious,informal-english,2023-03-12 15:12:38,New York
57,<b>Raw:</b> @mill_matic Damn Capt Raposa is making their rounds https://t.co/q5ek5vvKOD<br><b>Clean</b>: damn capt raposa is making their rounds,syntactic-english,2023-03-12 15:12:45,New York
58,"<b>Raw:</b> Acaba de publicar una foto en New York City, N.Y. https://t.co/e5JxafGw4P<br><b>Clean</b>: acaba de publicar una foto en new york city n y",incidental-english,2023-03-12 15:12:51,New York
59,<b>Raw:</b> @JackDeLaConcha Échesela a Breaking Bad a ver si le empieza a gustar!<br><b>Clean</b>: échesela a breaking bad a ver si le empieza a gustar,not-english,2023-03-12 15:12:54,New York
60,<b>Raw:</b> Jax me trajo a ver a @pamelaanderson en @ChicagoMusical 😬 https://t.co/r6FnErQv7x<br><b>Clean</b>: jax me trajo a ver a en,not-english,2023-03-12 15:12:57,New York
61,"<b>Raw:</b> Si duras mucho pasas a una paja, bye<br><b>Clean</b>: si duras mucho pasas a una paja bye",incidental-english,2023-03-12 15:13:12,New York
62,<b>Raw:</b> You can’t tell me I don’t fínese my blunts https://t.co/v0FY9k89LX<br><b>Clean</b>: you cant tell me i dont fínese my blunts,code-switched,2023-03-12 15:13:57,New York
63,"<b>Raw:</b> @lawandordertv @FINALLEVEL @cheerios DJI Osmo Pocket! Nice, Ice! 
Love mine.<br><b>Clean</b>: dji osmo pocket nice ice love mine",non-syntactic-english,2023-03-12 15:14:07,New York
64,<b>Raw:</b> I just showed my son he has a mustache and he’s like NOOO WHYYYY!!! Take it offf LMAOOO🤣🤣🤣<br><b>Clean</b>: i just showed my son he has a mustache and hes like nooo whyyyy take it offf lmaooo,informal-english,2023-03-12 15:14:15,New York
65,<b>Raw:</b> @shamimA01180430 Shamim Bhai Jazak Allah Khair. May Allah swt shower upon you his choicest blessings upon you. Ameen !<br><b>Clean</b>: shamim bhai jazak allah khair may allah swt shower upon you his choicest blessings upon you ameen,code-switched,2023-03-12 15:14:24,New York
66,<b>Raw:</b> Made a peri aeoli cos I didn’t know they sold Nando’s at Shoprite. En los estados unidos!!!!<br><b>Clean</b>: made a peri aeoli cos i didnt know they sold nandos at shoprite en los estados unidos,code-switched,2023-03-12 15:14:35,New York
67,<b>Raw:</b> Incident on #5Line Both directions at Eastchester - Dyre Av https://t.co/ZjcrwVbVnD<br><b>Clean</b>: incident on both directions at eastchester dyre av,syntactic-english,2023-03-12 15:14:39,New York
68,<b>Raw:</b> Incident on #LLine SB from 8 Av to Canarsie - Rockaway Pkwy https://t.co/vWJgtZ4d0G<br><b>Clean</b>: incident on sb from 8 av to canarsie rockaway pkwy,syntactic-english,2023-03-12 15:14:42,New York
69,<b>Raw:</b> Kelis has gathered all y’all millennial sheep and sent y’all to the slaughterhouse.<br><b>Clean</b>: kelis has gathered all yall millennial sheep and sent yall to the slaughterhouse,informal-english,2023-03-12 15:14:45,New York
70,"<b>Raw:</b> Nadie dice nada, pero @Aquisetrina me acosa, no me deja de mencionar, me invita a fiestas y se pone a cantar banda en mi apartamento 😩<br><b>Clean</b>: nadie dice nada pero me acosa no me deja de mencionar me invita a fiestas y se pone a cantar banda en mi apartamento",not-english,2023-03-12 15:14:49,New York
71,"<b>Raw:</b> Just posted a photo @ Riverdale Ave., Bx,NY https://t.co/fd4c0N2qls<br><b>Clean</b>: just posted a photo riverdale ave bxny",non-syntactic-english,2023-03-12 15:14:58,New York
72,<b>Raw:</b> Bro this is amazing I love eetttttttt<br><b>Clean</b>: bro this is amazing i love eetttttttt,informal-english,2023-03-12 15:15:01,New York
73,<b>Raw:</b> Hafi do a likkle for da yard!<br><b>Clean</b>: hafi do a likkle for da yard,informal-english,2023-03-12 15:15:05,New York
74,<b>Raw:</b> #ripluis Emilio Delgado as Luis on #sesamestreet Thank you ¡Gracias! @ Sesame Street https://t.co/A14F77EAug<br><b>Clean</b>: emilio delgado as luis on thank you gracias sesame street,code-switched,2023-03-12 15:15:09,New York
75,"<b>Raw:</b> No se cuanto cuesta en Puebla pero vivo en NewJersey y no está tan cara y el punto no es ese sino las mentiras de anlo te mando un ejemplo y te pregunto si es lo que apoyas , https://t.co/02V7owf40d<br><b>Clean</b>: no se cuanto cuesta en puebla pero vivo en newjersey y no está tan cara y el punto no es ese sino las mentiras de anlo te mando un ejemplo y te pregunto si es lo que apoyas",not-english,2023-03-12 15:15:14,New York
76,<b>Raw:</b> Charles Barkley Gives $1 Million To Spelman College https://t.co/GRuveKgysz via blackenterprise<br><b>Clean</b>: charles barkley gives 1 million to spelman college via blackenterprise,syntactic-english,2023-03-12 15:15:20,New York
77,"<b>Raw:</b> @Mr__Duran Borobudur, Lombok must be in your list<br><b>Clean</b>: borobudur lombok must be in your list",non-syntactic-english,2023-03-12 15:15:31,New York
78,"<b>Raw:</b> Tu pode tentar, mas não vai me parar 🥶⛄️ em Central Park, New York https://t.co/nttGmU39Ff<br><b>Clean</b>: tu pode tentar mas não vai me parar em central park new york",not-english,2023-03-12 15:15:34,New York
79,<b>Raw:</b> Crikey! Netflix Raises Prices in the UK and Ireland @dannyfrankel @bcbeat @ThisIsNextTV https://t.co/oEusHv825T<br><b>Clean</b>: crikey netflix raises prices in the uk and ireland,informal-english,2023-03-12 15:16:02,New York
80,<b>Raw:</b> Treated myself to AweSum DimSum (n den sum) https://t.co/azQtXdvUtn<br><b>Clean</b>: treated myself to awesum dimsum n den sum,non-syntactic-english,2023-03-12 15:16:08,New York
81,<b>Raw:</b> Tu alma con la mía los dos juntos vibrando<br><b>Clean</b>: tu alma con la mía los dos juntos vibrando,not-english,2023-03-12 15:16:10,New York
82,<b>Raw:</b> Breece Hall Or Garrett Wilson jersey decisions decisions<br><b>Clean</b>: breece hall or garrett wilson jersey decisions decisions,non-syntactic-english,2023-03-12 15:16:17,New York
83,"<b>Raw:</b> Hello, gorgeous*

(*Ramin Karimloo) @ August Wilson Theatre https://t.co/L2fbKJt4WU<br><b>Clean</b>: hello gorgeous ramin karimloo august wilson theatre",non-syntactic-english,2023-03-12 15:16:24,New York
84,<b>Raw:</b> Incident on #FLine from Coney Island - Stillwell Av to 47-50 Sts - Rockefeller Ctr https://t.co/C3uXcFeVmU<br><b>Clean</b>: incident on from coney island stillwell av to 47 50 sts rockefeller ctr,syntactic-english,2023-03-12 15:16:28,New York
85,"<b>Raw:</b> Mister MOJO Mural at LaGuardia Airport, NYC. #mojo #mojoandthebayougypsies #laguardia #mural #zydeco #neworleansmusic #louisiana #bayou #nyc #newyorkcity @ LaGuardia Airport https://t.co/FQyJSk4i0y<br><b>Clean</b>: mister mojo mural at laguardia airport nyc laguardia airport",syntactic-english,2023-03-12 15:16:42,New York
86,"<b>Raw:</b> @ohhhZach Just another entry in: if you post Grindr screenshots, you’re probably the asshole.<br><b>Clean</b>: just another entry in if you post grindr screenshots youre probably the asshole",non-syntactic-english,2023-03-12 15:17:36,New York
87,<b>Raw:</b> @Troianum Ik. I just don’t call them king idk why.<br><b>Clean</b>: ik i just dont call them king idk why,informal-english,2023-03-12 15:17:39,New York
88,"<b>Raw:</b> Ahora todos quieren ser latino 💃🏻😏
•
•
•
•
• 📸: @xo_maggy @ Yankee Stadium https://t.co/tGIv7SwBe6<br><b>Clean</b>: ahora todos quieren ser latino yankee stadium",not-english,2023-03-12 15:17:41,New York
89,"<b>Raw:</b> Si los taxes no llegan antes de San Valentín, no hay regalos<br><b>Clean</b>: si los taxes no llegan antes de san valentín no hay regalos",not-english,2023-03-12 15:17:44,New York
90,<b>Raw:</b> Drinking a Rudy's Blonde by Rudy's Bar &amp; Grill @ Rudys — https://t.co/GR331I7tTE<br><b>Clean</b>: drinking a rudys blonde by rudys bar and grill rudys,non-syntactic-english,2023-03-12 15:17:46,New York
91,<b>Raw:</b> [ROBLOX] How to use Real_BenTheMiner's Spawner Model https://t.co/XMCkAcvu7v via @YouTube<br><b>Clean</b>: roblox how to use realbentheminers spawner model via,non-syntactic-english,2023-03-12 15:17:53,New York
92,<b>Raw:</b> @Phat_Mars @girlsinrap @RealRemyMa @rapsody Idk about that Remy just sounds better overall<br><b>Clean</b>: idk about that remy just sounds better overall,informal-english,2023-03-12 15:17:58,New York
93,<b>Raw:</b> HR y más HR en ese estadio de sofball<br><b>Clean</b>: hr y más hr en ese estadio de sofball,not-english,2023-03-12 15:18:01,New York
94,"<b>Raw:</b> @ladunde @AwangKarel @toluogunlesi Don't mind these mofos ojere, they think they're the only one entitled to gbasgbos.<br><b>Clean</b>: dont mind these mofos ojere they think theyre the only one entitled to gbasgbos",informal-english,2023-03-12 15:18:56,New York
95,"<b>Raw:</b> Birria Ramen, South Slope Chicken Wings &amp; Brussels Sprouts 🔥🔥🔥 https://t.co/QjASJtQbE8<br><b>Clean</b>: birria ramen south slope chicken wings and brussels sprouts",non-syntactic-english,2023-03-12 15:19:05,New York
96,<b>Raw:</b> La integración de #Shazam en el CC es un palo: no hay que salir de la app que estés usando para identificar canciones 😍 https://t.co/R0C9APrYA7<br><b>Clean</b>: la integración de en el cc es un palo no hay que salir de la app que estés usando para identificar canciones,not-english,2023-03-12 15:19:08,New York
97,<b>Raw:</b> eu to fora de mim desliga meu wifi<br><b>Clean</b>: eu to fora de mim desliga meu wifi,not-english,2023-03-12 15:19:10,New York
98,<b>Raw:</b> Si tu me llamas le llego volando<br><b>Clean</b>: si tu me llamas le llego volando,not-english,2023-03-12 15:20:37,New York
99,"<b>Raw:</b> Disabled vehicle. Right lane blocked in #AreaofHudsonRivXings:LincolnTunlNJ on The Lincoln Tunl Ctr Tube EB at The Tunl Entrance/Exit/NY Side, stopped traffic back to The Tunl Entrance/Exit/NJ Side #traffic https://t.co/cLJ9IKsg5n<br><b>Clean</b>: disabled vehicle right lane blocked in lincolntunlnj on the lincoln tunl ctr tube eb at the tunl entranceexitny side stopped traffic back to the tunl entranceexitnj side",non-syntactic-english,2023-03-12 15:20:54,New York
100,"<b>Raw:</b> Acabou de publicar uma foto em Astor Place, East Village https://t.co/Pn5IZNqJnr<br><b>Clean</b>: acabou de publicar uma foto em astor place east village",not-english,2023-03-12 15:21:02,New York
101,<b>Raw:</b> @lukeisamazing I mean your memeing not you mansplaining shit<br><b>Clean</b>: i mean your memeing not you mansplaining shit,informal-english,2023-03-12 15:21:06,New York
102,<b>Raw:</b> David Ortiz es exaltado al Salón de la Fama de Cooperstown..🇺🇲⚾ https://t.co/N1wtBM2fXT<br><b>Clean</b>: david ortiz es exaltado al salón de la fama de cooperstown,not-english,2023-03-12 15:21:08,New York
103,<b>Raw:</b> Cleared: Construction on #Bxm1Bus Both directions from Henry Hudson Pky W/W 232 St to Riverdale Ave/W 230th St<br><b>Clean</b>: cleared construction on both directions from henry hudson pky ww 232 st to riverdale avew 230th st,syntactic-english,2023-03-12 15:22:28,New York
104,<b>Raw:</b> Otra vez don Antony de camino a queens 😂😂😂<br><b>Clean</b>: otra vez don antony de camino a queens,not-english,2023-03-12 15:22:31,New York
105,"<b>Raw:</b> @Aescano @Alvi23 Re-inicia el proceso y si no, el iPhone<br><b>Clean</b>: re inicia el proceso y si no el iphone",not-english,2023-03-12 15:22:32,New York
106,<b>Raw:</b> Kendrick Lamar is ALREADY better than all those guys.<br><b>Clean</b>: kendrick lamar is already better than all those guys,non-syntactic-english,2023-03-12 15:22:40,New York
107,<b>Raw:</b> @Billyhottakes Blast tren and her that bench to 280 bro<br><b>Clean</b>: blast tren and her that bench to 280 bro,informal-english,2023-03-12 15:22:45,New York
108,<b>Raw:</b> Incident on #DLine NB from Coney Island - Stillwell Av to 47-50 Sts - Rockefeller Ctr https://t.co/US5AI3f9cf<br><b>Clean</b>: incident on nb from coney island stillwell av to 47 50 sts rockefeller ctr,syntactic-english,2023-03-12 15:22:48,New York
109,"<b>Raw:</b> Sweatsuits Coming Late Summer/Early Fall! 

https://t.co/eycpNaKFHI @ Pelan, Now Y https://t.co/faQMRfWVt2<br><b>Clean</b>: sweatsuits coming late summerearly fall pelan now y",non-syntactic-english,2023-03-12 15:22:52,New York
110,<b>Raw:</b> @liberalpuppy @RepStefanik Elise Stefanik and her allies created America's #WhiteSupremacy #ChristoFascist disaster.<br><b>Clean</b>: elise stefanik and her allies created americas disaster,syntactic-english,2023-03-12 15:23:00,New York
111,<b>Raw:</b> U.S. jury convicts Theranos' Sunny Balwani of fraud #sunnybalwani #turtleneck #elizabethholmes #hinds #sanjose #theranosinc #fintwit https://t.co/yIfsx9BYh9<br><b>Clean</b>: u s jury convicts theranos sunny balwani of fraud,syntactic-english,2023-03-12 15:23:20,New York
112,<b>Raw:</b> Welcome back the lmited but competent Taysom Hill<br><b>Clean</b>: welcome back the lmited but competent taysom hill,informal-english,2023-03-12 15:23:53,New York
113,"<b>Raw:</b> Kinda a confusing game tbh....CLB outpossesing NYC, but looking fairly toothless? #nycfc<br><b>Clean</b>: kinda a confusing game tbh clb outpossesing nyc but looking fairly toothless",informal-english,2023-03-12 15:23:56,New York
114,"<b>Raw:</b> i need y’all to show a little bit more love for THIQUE right NEOWWW

 https://t.co/05GNtR1Ldk<br><b>Clean</b>: i need yall to show a little bit more love for thique right neowww",informal-english,2023-03-12 15:23:59,New York
115,<b>Raw:</b> Yo solo soy una yuca queriendo que me hagan bollito..<br><b>Clean</b>: yo solo soy una yuca queriendo que me hagan bollito,not-english,2023-03-12 15:24:01,New York
116,<b>Raw:</b> Esta Noche @elgrancanario2 🔥🔥🔥 en El Gran Canario 2 Restaurant &amp; Bar https://t.co/IGUMgY3Yf9<br><b>Clean</b>: esta noche en el gran canario 2 restaurant and bar,not-english,2023-03-12 15:24:03,New York
117,<b>Raw:</b> I blew 14 eth in Dubai but don’t regret it thank you bull run  $matic $vra $rsr I’m a goblin https://t.co/scifiqHwvC<br><b>Clean</b>: i blew 14 eth in dubai but dont regret it thank you bull run matic vra rsr im a goblin,informal-english,2023-03-12 15:24:47,New York
118,<b>Raw:</b> En el mundo hay dos tipos de personas 😂😂😂😂😂 @santelises https://t.co/F2kjfr4450<br><b>Clean</b>: en el mundo hay dos tipos de personas,not-english,2023-03-12 15:24:49,New York
119,<b>Raw:</b> Just posted a photo @ La Quinta Inn &amp; Suites Secaucus Meadowlands https://t.co/mlAoZ68Ry1<br><b>Clean</b>: just posted a photo la quinta inn and suites secaucus meadowlands,non-syntactic-english,2023-03-12 15:24:53,New York
120,<b>Raw:</b> Proud sila sa unity sa pagbayad ng utang ni Juliana. Sana may unity din sa utang ni Baby M sa Pilipinas.<br><b>Clean</b>: proud sila sa unity sa pagbayad ng utang ni juliana sana may unity din sa utang ni baby m sa pilipinas,not-english,2023-03-12 15:24:56,New York
121,<b>Raw:</b> Ya girl is about to be workin bicoastalllll 🤑✨🥂<br><b>Clean</b>: ya girl is about to be workin bicoastalllll,informal-english,2023-03-12 15:25:03,New York
122,<b>Raw:</b> Just listed by ERYK RACHWAL in #LindenCity #NJ. 229 Knopf St! Please retweet!  https://t.co/lAits0zIgc https://t.co/t3YNF7LNJS<br><b>Clean</b>: just listed by eryk rachwal in 229 knopf st please retweet,non-syntactic-english,2023-03-12 15:25:08,New York
